modulo,accion,jefe,admin,cajero,mesero,cocina
reportes.ventas_por_mesero,exportar_pdf,true,false,false,false,false
reportes.ventas_por_mesero,exportar_excel,true,false,false,false,false
reportes.ticket_por_dia,ver,true,false,false,false,false
reportes.ticket_por_dia,exportar_pdf,true,false,false,false,false
reportes.ticket_por_dia,exportar_excel,true,false,false,false,false
reportes.clientes_frecuentes,ver,true,false,false,false,false
reportes.clientes_frecuentes,exportar_pdf,true,false,false,false,false
reportes.clientes_frecuentes,exportar_excel,true,false,false,false,false
reportes.hora_dia_demanda,ver,true,false,false,false,false
reportes.hora_dia_demanda,exportar_pdf,true,false,false,false,false
reportes.hora_dia_demanda,exportar_excel,true,false,false,false,false
contabilidad.balance_general,ver,true,false,false,false,false
contabilidad.balance_general,exportar_pdf,true,false,false,false,false
contabilidad.balance_general,exportar_excel,true,false,false,false,false
contabilidad.flujo_caja,ver,true,false,false,false,false
contabilidad.flujo_caja,exportar_pdf,true,false,false,false,false
contabilidad.flujo_caja,exportar_excel,true,false,false,false,false
contabilidad.transacciones,ver,true,false,false,false,false
contabilidad.transacciones,exportar_pdf,true,false,false,false,false
contabilidad.transacciones,exportar_excel,true,false,false,false,false
